dataset,classifier,detector,cumulative_accuracy,cumulative_kappa,windowed_accuracy,windowed_kappa,execution_time,cpu_usage,memory_usage,num_changes
Sensor,HoeffdingTree,CUSUM,80.64882334153076,80.23440432303688,"[82.15154518425084, 79.22335345526625, 78.32687629516172, 82.12902063248941, 83.66969997297053, 76.55644652671411, 78.45301378502569, 82.40832507433102, 83.37688080007209, 74.92116406883504, 75.61942517343905, 81.92629966663664, 83.80484728353905, 77.25921254167042, 77.37183530047751, 82.12451572213712, 82.90386521308226, 75.96179836021263, 78.90350482025408, 82.16956482565998, 80.53878727813316, 80.34057122263268, 78.98459320659519, 83.06604198576449, 79.14226506892513, 78.87647535814037, 78.00252274979728, 82.85431119920713, 82.22812866023966, 79.9666636633931, 78.82692134426524, 82.32723668798991, 83.52103793134516, 79.93512929092711, 79.79097215965403, 83.01648797188936, 82.7552031714569, 78.48454815749166, 80.1063158843139, 79.95314893233625, 82.0209027840346, 79.97116857374537, 80.25948283629157, 79.68735922155149, 82.36327597080817, 82.02991260473917, 78.93503919272007, 79.30444184160736, 82.32723668798991, 80.6964591404631, 81.16496981710064, 80.11082079466618, 84.0706369943238, 82.5254527434904, 82.23713848094422, 79.97567348409767, 85.24191368591765, 82.55698711595639, 82.62005586088836, 79.30444184160736, 85.42661501036129, 81.34967114154429, 81.51184791422651, 81.21902874132805, 83.71474907649338, 81.49382827281737, 82.20109919812596, 82.2461483016488, 84.26885304982432, 76.9303540859537, 84.64276060906388, 82.11100099108027, 83.21019911703758, 82.57951166771781, 84.76439318857555, 81.76862780430669, 81.42174970718082, 84.3544463465177, 84.66078025047301, 81.64699522479502, 83.71925398684567, 82.93990449590054, 86.29155779799981, 83.66519506261825, 85.22389404450851, 86.42670510856834, 84.34543652581313, 83.74177853860708, 72.61915487881791, 73.08766555545544, 72.26326696098747, 65.9248580953239, 80.08829624290476, 73.43904856293359, 88.52148842238039, 73.95260834309397, 69.77205153617443, 72.10109018830525, 75.02477700693755, 80.83160645103162]","[81.77636677928798, 78.76988732730723, 77.86792886833031, 81.74273652624704, 83.3140017863662, 76.05943133261891, 77.99705520852972, 82.0268014526778, 83.01927114254838, 74.3747900599847, 75.09107038157397, 81.5269460954879, 83.40933818523648, 76.75279023974018, 76.86794344431553, 81.72192313568513, 82.48855036647022, 75.42270153614965, 78.44831389653211, 81.77880412741476, 80.06795659139621, 79.91192524627263, 78.53526342296058, 82.68461465458351, 78.67649309154244, 78.40689583771173, 77.53174182419671, 82.48714106786731, 81.82953946174786, 79.5281724812122, 78.36923160167301, 81.94279899337565, 83.1588283291899, 79.49394825245834, 79.35354851975897, 82.66093616167052, 82.39282302034128, 78.03492535949982, 79.66851532955025, 79.52434000290994, 81.62738084901973, 79.509878538422, 79.83254827866688, 79.25972805851369, 81.9970792630621, 81.6083212672576, 78.45567254153428, 78.81348715129548, 81.92042861330218, 80.2237904247381, 80.73379344156757, 79.66723020620617, 83.71238440170973, 82.13270636716673, 81.8338891137732, 79.52621918790722, 84.88724579930224, 82.15798724102599, 82.22932539246771, 78.84369707370837, 85.08297301843612, 80.92386960728943, 81.06299888786896, 80.75439420075351, 83.29864492359872, 81.05897763447291, 81.77438986546473, 81.83199399273812, 83.87122450259021, 76.29747137300275, 84.27316930948652, 81.66389101581902, 82.78699783911894, 82.15471748011723, 84.39461662341249, 81.3165555277087, 80.97372782867286, 83.9560776226737, 84.27007754448935, 81.1886982512249, 83.27927874480604, 82.39091237816622, 85.90924904927215, 83.2504675222256, 84.8646889144036, 86.10464986152874, 83.88157809917395, 83.24926320774352, 71.65271931077434, 72.04578262179241, 71.1914689214621, 64.70403759746057, 79.38941932300746, 72.57888791387668, 88.20789183851052, 73.14068740252725, 68.47608282894126, 70.81764518679199, 73.81315300697963, 79.86160118616284]",141.60855984687805,4.744663742690053,767.9453125,61126
Sensor,HoeffdingTree,PageHinkley,75.0235493870402,74.49062450420975,"[90.17479052166863, 70.49283719253987, 59.69006216776286, 87.92233534552662, 80.50274799531489, 60.379313451662306, 58.81610955941977, 89.32786737543923, 95.06261825389674, 68.38003423731868, 56.29786467249301, 50.91449680151365, 65.54194071537977, 75.31309126948373, 75.30858635913145, 90.24686908730516, 88.04847283539058, 50.283809352193884, 77.83584106676277, 75.06532120010812, 69.39814397693486, 79.88557527705198, 55.923957113253444, 92.33264258041265, 83.22371384809443, 65.59599963960717, 66.10955941976755, 85.85007658347598, 86.25551851518155, 65.34822957023155, 58.35210379313451, 90.44959005315795, 91.18839535093251, 72.5921254167042, 66.89791873141725, 94.88692675015767, 93.27416884404, 72.74529236868187, 74.43463375078836, 74.91215424813046, 86.55284259843229, 75.00675736552843, 83.27777277232184, 41.282998468330476, 32.18307955671682, 70.44778808901702, 67.53311109108928, 68.65933867916029, 86.20145959095414, 60.667627714208486, 82.80475718533201, 69.6684385980719, 92.909271105505, 80.51175781601945, 79.29993693125506, 70.5964501306424, 87.7331291107307, 84.3544463465177, 77.98450310838815, 73.18226867285341, 93.64807640327957, 78.20524371565007, 82.51193801243355, 85.33201189296334, 87.13848094422922, 65.28966573565185, 85.72844400396433, 79.96215875304081, 83.36336606901523, 69.51527164609425, 94.8779169294531, 53.459771150554104, 76.30417154698621, 81.8226867285341, 92.7110550500045, 82.6110460401838, 72.15064420218039, 82.36327597080817, 86.30507252905667, 70.65951887557438, 61.983061537075415, 64.26705108568339, 66.48346697900712, 85.85007658347598, 92.34165240111722, 88.92693035408595, 82.0209027840346, 79.27741237949365, 67.45652761510046, 59.5098657536715, 59.099918911613656, 51.04964411208217, 77.10154067934049, 60.34777907919633, 93.56698801693847, 70.47932246148302, 61.54608523290387, 68.654833768808, 67.35741958735021, 64.95630236958284]","[89.95725048553498, 69.83228367360753, 58.834686469458276, 87.66293866785728, 80.08770831443879, 59.526361217446386, 57.953123484273526, 89.09622929881805, 94.95453198848065, 67.69616694203897, 55.38320338084925, 49.94065789586019, 64.76229749315407, 74.76857311230559, 74.77896955869227, 90.0300103748019, 87.76189519519828, 49.11192390441328, 77.3625641660893, 74.52781685326931, 68.66262316569798, 79.45027294249533, 55.001994291001566, 92.15991385213404, 82.84326602096479, 64.85017058900806, 65.39781496344072, 85.55080077937983, 85.95615771183452, 64.59877111323686, 57.473574192958374, 90.24448931173046, 90.99924513688983, 72.00317182851815, 66.19534935515951, 94.78181205134895, 93.13728786909812, 72.18349944621309, 73.89085018599344, 74.384679290598, 86.26495893163224, 74.43700300262796, 82.91746001780794, 40.0242334418554, 30.695630118079407, 69.75100211481838, 66.82250288632906, 67.95238677361182, 85.88898204967212, 59.728927196751954, 82.41359191957174, 68.97981232221105, 92.74874649243839, 80.06673069488167, 78.82454304638571, 69.92946839019275, 87.43750191310284, 83.99082521941227, 77.48278981744342, 72.571800263736, 93.4900456696284, 77.69438796248633, 82.08444944246057, 84.97074748825831, 86.81652261860194, 64.5122253058393, 85.38875863225972, 79.48982167638852, 82.94561885550857, 68.66111645073565, 94.75120038318728, 52.2769568421922, 75.68308829627796, 81.37240198523111, 92.53085752832698, 82.17637480376088, 71.46975552879269, 81.90853459697928, 85.95120677324098, 69.92271052498282, 60.928717608913864, 63.152574619529055, 65.52866826937208, 85.49186562943996, 92.1536262289409, 88.66066434938568, 81.45985358841054, 78.64462622528609, 66.27503488448785, 58.04577915699463, 57.66494010081272, 49.23383338046184, 76.33246317559745, 59.10052090869495, 93.38836448291406, 69.58885858210387, 59.946671498716306, 67.23698221600266, 65.74498479915101, 63.17392255867529]",91.74898982048035,4.778277075999179,797.61328125,1715
Sensor,HoeffdingTree,DDM,62.157182416637866,61.35705639541445,"[90.83250743310208, 67.03757095233804, 58.26200558608884, 87.57545724840075, 81.02982250653213, 50.18470132444365, 65.32120010811785, 90.31444274258942, 80.53428236778089, 56.86097846652851, 58.39715289665735, 81.26858275520317, 73.5516713217407, 56.31588431390215, 60.24867105144608, 77.268222362375, 69.4116587079917, 55.414902243445354, 57.27543021893864, 63.72646184340932, 53.94179655824849, 68.44760789260293, 54.80673934588701, 76.17352914676998, 71.51545184250834, 60.85232903865213, 56.248310658617896, 73.25434723848996, 77.95747364627445, 54.85629335976214, 52.441661410937925, 78.57915127488963, 82.71015406793406, 58.95125686998829, 52.54527434904045, 78.96206865483377, 84.75538336787099, 64.64546355527526, 56.46004144517525, 61.041535273448055, 84.64276060906388, 57.34750878457518, 62.20380214433733, 56.095143706640236, 81.21001892062348, 61.62717361924498, 65.49238670150463, 57.41508243985945, 75.13289485539238, 55.45544643661591, 54.71664113884134, 46.679881070366704, 73.96161816379853, 65.1680331561402, 49.05847373637265, 50.810883863411114, 77.30876655554555, 60.19911703757095, 63.92017298855753, 60.82079466618614, 81.68753941796558, 55.851878547616906, 65.26263627353815, 64.97432201099198, 81.24605820344175, 53.78412469591856, 65.6996125777097, 56.61320839715289, 67.12766915938373, 42.01729885575277, 75.9708081809172, 56.22578610685648, 63.4786917740337, 65.24011172177674, 73.25885214884224, 59.09090909090909, 52.34255338318767, 71.36678980088296, 62.39751328948554, 40.20181998378232, 48.657536715019376, 60.87935850076583, 71.73619244977026, 54.40580232453374, 62.9696369042256, 78.2502928191729, 65.34822957023155, 58.81610955941977, 37.34570682043427, 35.62483106586179, 34.04811244256239, 34.05712226326696, 44.873412019100826, 44.37787188034958, 72.61464996846563, 42.26506892512839, 30.755022975042795, 33.678709793675104, 44.977024957203355, 46.95017569150374]","[90.62888937711945, 66.28842789918956, 57.37164516739628, 87.30828534361757, 80.62699504539341, 49.102896385447714, 64.5948090097244, 90.103261623908, 80.11056039636631, 55.924702926358904, 57.496306677285425, 80.86107682770472, 72.94743100927914, 55.35025064430048, 59.38486065225543, 76.7717895546361, 68.7026073553755, 54.43963364542055, 56.35588746220005, 62.947301941459244, 52.8300904216284, 67.76421397341201, 53.850605843499636, 75.64162793411707, 70.88641676246, 59.98417195500721, 55.32039343706956, 72.6806148283846, 77.49471445012107, 53.90102721331016, 51.40195233911518, 78.12221499391514, 82.34156814629787, 58.05606299529757, 51.52675434392889, 78.5314152116592, 84.44072117589107, 63.906650426356215, 55.540256550090525, 60.2339488303242, 84.31644543936848, 56.38200443865714, 61.39560739073353, 55.16550567264096, 80.81697438237548, 60.771312183224545, 64.72921503283564, 56.46377165686112, 74.57331318141908, 54.38380555008631, 53.71639135080406, 45.54165312085331, 73.36976914696841, 64.3365448615483, 47.863351462829435, 49.68626282830541, 76.76388198038265, 59.28170870014126, 63.093339534107194, 59.9164991039514, 81.2289276024604, 54.817020193236424, 64.41647053159745, 64.12529023421749, 80.7775668925792, 52.71236130888245, 64.88644673888872, 55.602131426430525, 66.31230953747642, 40.51703952887156, 75.3679521937595, 55.1305550904002, 62.54291325957875, 64.35917495440088, 72.58539520883855, 58.06040306970163, 51.173459803995215, 70.63465284756954, 61.42101224506015, 38.74587737734907, 47.30590004815691, 59.68508927589995, 70.97237448567166, 53.29197743460675, 62.125343032596646, 77.76187109372133, 64.35549695981625, 57.70309490867621, 35.70799252398778, 33.80582909760258, 32.43923171017003, 32.16985067117773, 43.41087019321265, 42.946757278668215, 71.9095775850566, 40.910120983808326, 28.724712422863103, 31.654624736346626, 42.6312955584556, 44.59641062957414]",82.08571171760559,4.703337243401759,668.1328125,0
Sensor,HoeffdingTree,HDDMAverage,80.49646747932137,80.07880776266056,"[81.78664744571583, 79.1197405171637, 78.14217497071809, 82.07045679790971, 82.9218848544914, 76.69609874763492, 78.5611316334805, 81.71456888007928, 82.81827191638887, 74.83557077214164, 75.21398324173349, 81.52085773493107, 83.44895936570862, 77.31777637625011, 76.84476078926029, 81.76412289395441, 82.836291557798, 76.44382376790702, 78.5341021713668, 82.2461483016488, 80.47121362284891, 80.22794846382557, 78.44400396432111, 82.35426615010361, 78.48454815749166, 78.52509235066222, 78.16920443283179, 82.33624650869447, 82.01639787368231, 79.35399585548247, 78.91251464095865, 81.75961798360213, 82.98044868907108, 80.40814487791692, 80.15136498783674, 82.87683575096855, 82.4173348950356, 77.91242454275161, 79.64681502838093, 79.80899180106316, 81.39021533471484, 80.08379133255248, 80.13785025677988, 79.52067753851698, 81.61996576268132, 81.67402468690874, 79.25038291737995, 79.05667177223174, 82.23713848094422, 80.48923326425805, 81.49833318316966, 79.87206054599514, 83.91747004234615, 81.28660239661231, 82.31822686728533, 79.78646724930174, 85.13379583746283, 82.56599693666095, 81.80917199747725, 79.68285431119921, 85.04369763041716, 81.71907379043158, 80.31354176051897, 81.21001892062348, 83.75979818001622, 80.8946751959636, 82.18758446706912, 82.12001081178485, 84.01207315974412, 77.73673303901253, 84.85449139562122, 82.30921704658077, 83.00297324083252, 81.92179475628436, 84.43102982250653, 82.01639787368231, 81.31363185872601, 83.86791602847103, 84.41301018109739, 81.66501486620416, 83.41742499324263, 82.39931525362645, 86.23749887377241, 83.70573925578881, 85.30047752049734, 86.12037120461304, 84.43553473285881, 83.84989638706189, 74.00666726732138, 74.38057482656095, 73.19578340391027, 66.39336877196143, 79.96215875304081, 73.24984232813767, 88.65213082259663, 73.33994053518335, 69.70447788089017, 71.24065231101902, 75.745562663303, 80.09280115325706]","[81.40317008799119, 78.66376354729523, 77.67851484826461, 81.68353265806425, 82.55035290497095, 76.20177417194523, 78.10706509795213, 81.31931370612587, 82.44852200397207, 74.28787317893921, 74.67642185687855, 81.11308339836344, 83.04503200819515, 76.81414541356357, 76.32999415762379, 81.35402753734286, 82.41888607016648, 75.9155275238378, 78.07193166798714, 81.8576568653202, 79.99930109615188, 79.79615407176894, 77.98339638459137, 81.95702080725916, 78.00438466862637, 78.04756941187043, 77.70397667909693, 81.95797509846392, 81.61360058988414, 78.90238844358593, 78.45556513665734, 81.36274338672756, 82.6062219840887, 79.97773530002112, 79.72184865977509, 82.51835690046163, 82.04756247500514, 77.4509342717347, 79.19943439040111, 79.37722044837002, 80.9828000591985, 79.62414318840136, 79.70817698874171, 79.09015872884049, 81.23820733546869, 81.24390896471907, 78.77772716766637, 78.56337390338797, 81.82951432495773, 80.01162470779725, 81.07526140225785, 79.42488388128832, 83.55576145272727, 80.86662766683285, 81.91616381853049, 79.33380143622806, 84.7770987535984, 82.1674205243347, 81.40137391325996, 79.22935680427894, 84.69052189827994, 81.30251600020725, 79.8357528618957, 80.74420941282962, 83.34437779259586, 80.44574939071312, 81.76056629455982, 81.70245042503532, 83.60753864144482, 77.12993986685974, 84.48974301088481, 81.86752433981154, 82.57524432626796, 81.48138590776684, 84.05371315157983, 81.5709099408159, 80.86231118622287, 83.45893144569266, 84.0161009151309, 81.20650693119977, 82.96942097208739, 81.83374510102028, 85.85312510209512, 83.29190383311693, 84.9431878341531, 85.79117937090972, 83.97352312272855, 83.35876282078532, 73.0967396384754, 73.38692081477451, 72.16296562933547, 65.18464857454187, 79.26152243775806, 72.37653287961669, 88.34199935501587, 72.51390982093629, 68.40946389730273, 69.93362315001187, 74.56506217959983, 79.08599398369398]",89.94284677505493,4.707566844919793,717.51953125,520789
Sensor,HoeffdingTree,HDDMWeighted,80.49687292070512,80.07921932351968,"[81.81818181818183, 79.05667177223174, 78.07009640508153, 82.106496080728, 82.96242904766196, 76.70060365798722, 78.54761690242364, 81.7370934318407, 82.85431119920713, 74.89413460672132, 75.55185151815479, 81.62897558338588, 83.45346427606091, 77.61510045950085, 76.82674114785117, 81.64699522479502, 82.836291557798, 76.52491215424813, 78.57915127488963, 82.16505991530768, 80.44868907108749, 80.24146319488243, 78.48004324713939, 82.35426615010361, 78.4755383367871, 78.52509235066222, 78.17821425353635, 82.30471213622849, 82.04342733579601, 79.36300567618704, 78.76385259933328, 82.07496170826201, 82.86332101991171, 80.57482656095144, 80.18740427065502, 82.81827191638887, 82.05694206685287, 78.4485088746734, 79.77745742859717, 80.19641409135959, 81.61996576268132, 79.87206054599514, 80.08829624290476, 79.24587800702766, 81.60645103162447, 81.52536264528337, 79.54770700063068, 79.08820614469772, 82.54797729525183, 80.16487971889359, 81.1784845481575, 80.13785025677988, 83.84088656635733, 81.41724479682854, 82.2461483016488, 79.66933958014235, 85.10676637534912, 82.63357059194522, 81.84521128029553, 79.44859897288043, 84.89954049914407, 81.41273988647626, 80.3315614019281, 81.1739796378052, 83.95801423551671, 80.98927831336157, 82.25065321200108, 82.07946661861429, 83.93548968375529, 77.4619335075232, 84.53914767096134, 82.45787908820614, 82.82277682674115, 81.95332912875034, 84.43553473285881, 81.9938733219209, 81.31363185872601, 83.86791602847103, 84.40850527074511, 81.4307595278854, 83.41742499324263, 82.53896747454725, 86.19244977024957, 83.56158212451572, 85.2824578790882, 86.12037120461304, 84.42202000180197, 83.85440129741419, 73.98864762591224, 74.38057482656095, 73.26335705919452, 66.11856924047211, 79.99369312550681, 73.17325885214883, 88.54851788449409, 73.45256329399045, 69.42967834940085, 71.36678980088296, 75.72754302189387, 80.5568069195423]","[81.43530320369399, 78.59957718662154, 77.60510948670786, 81.72044881765305, 82.59174888175983, 76.20636014327359, 78.09325282586532, 81.34232909090655, 82.48528405606461, 74.34768430002175, 75.0219159570776, 81.22352353340064, 83.04977675037428, 77.11791001049124, 76.3109117053678, 81.23477428266123, 82.41888607016648, 75.99828732094676, 78.1177774525171, 81.77471313602183, 79.97610218014854, 79.80993890830825, 78.0201922676317, 81.95700908817435, 77.99496696127053, 78.04756941187043, 77.71317111373389, 81.92586368575468, 81.64121782204342, 78.91158239857954, 78.30373037729129, 81.68481734250135, 82.48649794733515, 80.14727196220127, 79.75867125920816, 82.45833771469972, 81.67941292883597, 77.99756722556765, 79.33271969844363, 79.77285572863839, 81.21825948576522, 79.40859655441773, 79.65757232568197, 78.80994021894811, 81.22454184701013, 81.0913407301322, 79.08159921779371, 78.59481076627522, 82.1475229204274, 79.67997474921037, 80.74922184191284, 79.695390301729, 83.47727500623778, 81.00015370979243, 81.84284141193265, 79.21340384513701, 84.74961806604962, 82.23649653393441, 81.43821372227855, 78.9901961037141, 84.54569325241229, 80.99069819285963, 79.85217237971149, 80.70758420796773, 83.54759235880651, 80.54220506544598, 81.82532042263166, 81.66127504096283, 83.52935553607924, 76.84816402509409, 84.16720162055157, 82.01964046824287, 82.39048749075425, 81.51350960341885, 84.05831759649898, 81.54786682410335, 80.86232904584713, 83.45894397450803, 84.01147167501473, 80.96672057984681, 82.96971008193141, 81.97808648189901, 85.80675519720289, 83.14422382985236, 84.92473211514816, 85.79117937090972, 83.95987671214723, 83.36339836148393, 73.07795964476612, 73.38690667658013, 72.23224146681572, 64.90444336620749, 79.29400125536579, 72.29799699287332, 88.23542286685775, 72.62921664802076, 68.12400103170859, 70.07014078234558, 74.54307012567062, 79.57297816245]",85.81802010536194,4.707277205553068,733.72265625,2214
Sensor,HoeffdingTree,ADWIN,71.69546126390495,71.09377905493456,"[90.83250743310208, 67.03757095233804, 58.26200558608884, 87.57545724840075, 83.72375889719794, 60.2982250653212, 59.29813496711416, 84.54815749166592, 86.26903324623841, 62.14974322010992, 63.307505180646906, 77.72772321830796, 62.122713757996216, 57.88809802684926, 72.66420398234075, 83.7643030903685, 79.75943778718803, 50.10361293810253, 68.92512838994504, 84.56167222272278, 48.905306784394995, 62.84349941436166, 49.283719253986845, 90.656815929363, 83.5390575727543, 61.208216956482566, 61.451482115505904, 82.62005586088836, 78.91701955131093, 57.98720605459952, 57.153797639426976, 87.9854040904586, 88.94044508514281, 53.79313451662312, 56.04558969276512, 85.81403730065772, 96.0627083521038, 72.61464996846563, 65.1635282457879, 70.90278403459772, 86.82313721956933, 61.10460401838004, 66.24020181998378, 68.69087305162628, 93.05793314713037, 76.33120100909991, 63.289485539237766, 66.80782052437156, 59.47382647085323, 59.95585187854762, 82.12902063248941, 61.10910892873231, 94.24272456978106, 78.2502928191729, 70.01081178484549, 54.89233264258041, 89.56662762411028, 61.91098297143887, 68.63230921704658, 17.15019371114515, 94.36886205964501, 70.99738715199567, 77.67366429408055, 77.43039913505721, 88.03495810433373, 67.97459230561311, 75.9437787188035, 79.23236327597081, 66.00144157131274, 61.1406433011983, 77.91692945310388, 74.619335075232, 79.98468330480225, 72.2857915127489, 81.70555905937472, 65.73114695017568, 72.02450671231642, 72.3128209748626, 87.27362825479773, 75.07433102081269, 64.80313541760519, 68.01964140913596, 74.41661410937922, 79.80448689071088, 92.89125146409587, 88.78277322281286, 82.02991260473917, 85.83205694206684, 61.93350752320029, 63.460672132624566, 53.16695197765564, 55.450941526263634, 80.3856203261555, 63.11379403549869, 95.22929993693126, 65.82575006757365, 42.476799711685736, 66.86638435895127, 66.44292278583657, 68.51067663753491]","[90.62888937711945, 66.28842789918956, 57.37164516739628, 87.30828534361757, 83.37660409990877, 59.443830179327875, 58.44414203477666, 84.21563652654164, 85.97220000141274, 61.32806474522224, 62.51954813108508, 77.24914025709701, 61.2300688617889, 56.96356276286054, 72.08211816323151, 83.40683485627383, 79.2849218141204, 48.96989432321281, 68.2543789766289, 84.22704055895392, 47.61934905355482, 61.99922174091681, 48.220777694878144, 90.4467942698576, 83.17028210916602, 60.36877036851155, 60.633076330942416, 82.25507161110855, 78.46203065634461, 57.09207464084736, 56.25526613373369, 87.73036747203797, 88.70445774887179, 52.76916513825083, 55.11262954435695, 85.52283591634081, 95.98221534179163, 72.05146948194819, 64.4338928747253, 70.29183905142534, 86.54563963306859, 60.23960652710842, 65.51017978502563, 68.03784755938517, 92.91299718145977, 75.77876808985499, 62.48253452975023, 66.05875882757569, 58.62338789672005, 59.01248623216401, 81.72201176197544, 60.24055110361226, 94.11284901984473, 77.75741647355227, 69.30819859616058, 53.87805653420781, 89.31602997919207, 61.0531699717088, 67.92393838611474, 15.477639306421246, 94.22827162729077, 70.31952223441364, 77.1330264583388, 76.87445694748388, 87.73597453768974, 67.24450219558894, 75.38218531292269, 78.7427354913753, 65.16398996608797, 60.05523260531951, 77.387482007692, 73.97639094410557, 79.46911579193934, 71.60484851580337, 81.25627062465234, 64.859107600164, 71.3392629394448, 71.58535620293578, 86.94588778546346, 74.44514745419339, 63.82916116059572, 67.02178959181035, 73.70239335167994, 79.29029209465376, 92.71671437659381, 88.51298575078513, 81.47466463971847, 85.38853771114512, 60.55336873184998, 62.04798049576914, 51.49118599014284, 53.876371563799644, 79.71904621062858, 61.90637934346398, 95.0958532905125, 64.75300475540062, 39.71735366824145, 65.31941575760631, 64.75435667193435, 66.94499012355912]",80.00930213928223,4.705969617849512,708.0859375,161
Sensor,HoeffdingTree,STEPD,62.157182416637866,61.35705639541445,"[90.83250743310208, 67.03757095233804, 58.26200558608884, 87.57545724840075, 81.02982250653213, 50.18470132444365, 65.32120010811785, 90.31444274258942, 80.53428236778089, 56.86097846652851, 58.39715289665735, 81.26858275520317, 73.5516713217407, 56.31588431390215, 60.24867105144608, 77.268222362375, 69.4116587079917, 55.414902243445354, 57.27543021893864, 63.72646184340932, 53.94179655824849, 68.44760789260293, 54.80673934588701, 76.17352914676998, 71.51545184250834, 60.85232903865213, 56.248310658617896, 73.25434723848996, 77.95747364627445, 54.85629335976214, 52.441661410937925, 78.57915127488963, 82.71015406793406, 58.95125686998829, 52.54527434904045, 78.96206865483377, 84.75538336787099, 64.64546355527526, 56.46004144517525, 61.041535273448055, 84.64276060906388, 57.34750878457518, 62.20380214433733, 56.095143706640236, 81.21001892062348, 61.62717361924498, 65.49238670150463, 57.41508243985945, 75.13289485539238, 55.45544643661591, 54.71664113884134, 46.679881070366704, 73.96161816379853, 65.1680331561402, 49.05847373637265, 50.810883863411114, 77.30876655554555, 60.19911703757095, 63.92017298855753, 60.82079466618614, 81.68753941796558, 55.851878547616906, 65.26263627353815, 64.97432201099198, 81.24605820344175, 53.78412469591856, 65.6996125777097, 56.61320839715289, 67.12766915938373, 42.01729885575277, 75.9708081809172, 56.22578610685648, 63.4786917740337, 65.24011172177674, 73.25885214884224, 59.09090909090909, 52.34255338318767, 71.36678980088296, 62.39751328948554, 40.20181998378232, 48.657536715019376, 60.87935850076583, 71.73619244977026, 54.40580232453374, 62.9696369042256, 78.2502928191729, 65.34822957023155, 58.81610955941977, 37.34570682043427, 35.62483106586179, 34.04811244256239, 34.05712226326696, 44.873412019100826, 44.37787188034958, 72.61464996846563, 42.26506892512839, 30.755022975042795, 33.678709793675104, 44.977024957203355, 46.95017569150374]","[90.62888937711945, 66.28842789918956, 57.37164516739628, 87.30828534361757, 80.62699504539341, 49.102896385447714, 64.5948090097244, 90.103261623908, 80.11056039636631, 55.924702926358904, 57.496306677285425, 80.86107682770472, 72.94743100927914, 55.35025064430048, 59.38486065225543, 76.7717895546361, 68.7026073553755, 54.43963364542055, 56.35588746220005, 62.947301941459244, 52.8300904216284, 67.76421397341201, 53.850605843499636, 75.64162793411707, 70.88641676246, 59.98417195500721, 55.32039343706956, 72.6806148283846, 77.49471445012107, 53.90102721331016, 51.40195233911518, 78.12221499391514, 82.34156814629787, 58.05606299529757, 51.52675434392889, 78.5314152116592, 84.44072117589107, 63.906650426356215, 55.540256550090525, 60.2339488303242, 84.31644543936848, 56.38200443865714, 61.39560739073353, 55.16550567264096, 80.81697438237548, 60.771312183224545, 64.72921503283564, 56.46377165686112, 74.57331318141908, 54.38380555008631, 53.71639135080406, 45.54165312085331, 73.36976914696841, 64.3365448615483, 47.863351462829435, 49.68626282830541, 76.76388198038265, 59.28170870014126, 63.093339534107194, 59.9164991039514, 81.2289276024604, 54.817020193236424, 64.41647053159745, 64.12529023421749, 80.7775668925792, 52.71236130888245, 64.88644673888872, 55.602131426430525, 66.31230953747642, 40.51703952887156, 75.3679521937595, 55.1305550904002, 62.54291325957875, 64.35917495440088, 72.58539520883855, 58.06040306970163, 51.173459803995215, 70.63465284756954, 61.42101224506015, 38.74587737734907, 47.30590004815691, 59.68508927589995, 70.97237448567166, 53.29197743460675, 62.125343032596646, 77.76187109372133, 64.35549695981625, 57.70309490867621, 35.70799252398778, 33.80582909760258, 32.43923171017003, 32.16985067117773, 43.41087019321265, 42.946757278668215, 71.9095775850566, 40.910120983808326, 28.724712422863103, 31.654624736346626, 42.6312955584556, 44.59641062957414]",76.22342324256897,4.721909213925451,790.03125,0
